import time: self [us] | cumulative | imported package
import time:       469 |        469 |           asyncio.base_subprocess
import time:       835 |        835 |           asyncio.selector_events
import time:      1097 |       2400 |         asyncio.unix_events
import time:       527 |      31962 |       asyncio
import time:       260 |      32221 |     loguru._asyncio_loop
import time:       318 |        318 |     loguru._colorama
import time:       234 |        234 |     loguru._filters
import time:       629 |        629 |       sysconfig
import time:       602 |       1231 |     loguru._better_exceptions
import time:       652 |        652 |     loguru._colorizer
import time:       262 |        262 |     loguru._contextvars
import time:       809 |        809 |     loguru._datetime
import time:       426 |        426 |     loguru._error_interceptor
import time:      1117 |       1117 |       glob
import time:       514 |        514 |       loguru._string_parsers
import time:       268 |        268 |       loguru._ctime_functions
import time:      2231 |       4128 |     loguru._file_sink
import time:       213 |        213 |     loguru._get_frame
import time:       439 |        439 |             _json
import time:       474 |        913 |           json.scanner
import time:       783 |       1696 |         json.decoder
import time:       542 |        542 |         json.encoder
import time:       579 |       2816 |       json
import time:      1096 |       1096 |       loguru._locks_machinery
import time:       454 |       4365 |     loguru._handler
import time:       463 |        463 |     loguru._recattrs
import time:       341 |        341 |     loguru._simple_sinks
import time:      1563 |      51535 |   loguru._logger
import time:      1591 |       1591 |   _sysconfigdata__x86_64-linux-gnu
import time:      3756 |      57390 | loguru
import time:       315 |        315 |     src
import time:        91 |        405 |   src.utils
import time:       730 |        730 |         antlr4.Token
import time:       445 |        445 |         antlr4.InputStream
import time:       418 |        418 |         antlr4.FileStream
import time:       318 |        318 |         antlr4.StdinStream
import time:       384 |        384 |             antlr4.error
import time:       234 |        234 |                   antlr4.tree
import time:       712 |        946 |                 antlr4.tree.Tree
import time:       255 |        255 |                   antlr4.Utils
import time:       452 |        707 |                 antlr4.tree.Trees
import time:       338 |       1989 |               antlr4.RuleContext
import time:       363 |       2351 |             antlr4.ParserRuleContext
import time:       253 |        253 |               antlr4.error.ErrorListener
import time:       307 |        559 |             antlr4.Recognizer
import time:       763 |       4057 |           antlr4.error.Errors
import time:       401 |       4457 |         antlr4.BufferedTokenStream
import time:       297 |        297 |             antlr4.CommonTokenFactory
import time:       197 |        197 |               antlr4.atn
import time:       472 |        472 |                   antlr4.IntervalSet
import time:       408 |        408 |                   antlr4.atn.ATNType
import time:       341 |        341 |                       antlr4.atn.SemanticContext
import time:       500 |        840 |                     antlr4.atn.Transition
import time:       475 |       1314 |                   antlr4.atn.ATNState
import time:       499 |       2692 |                 antlr4.atn.ATN
import time:       485 |       3176 |               antlr4.PredictionContext
import time:       712 |        712 |                   antlr4.atn.LexerAction
import time:       428 |       1139 |                 antlr4.atn.LexerActionExecutor
import time:       324 |       1463 |               antlr4.atn.ATNConfig
import time:      1096 |       1096 |                 antlr4.atn.ATNConfigSet
import time:       511 |        511 |                   antlr4.dfa
import time:      1150 |       1661 |                 antlr4.dfa.DFAState
import time:      1257 |       4014 |               antlr4.atn.ATNSimulator
